"year","age","cohort","males_baseline","females_baseline","males_policy","females_policy","both_baseline","both_policy","policy_year"
2029,"39","1990",0.1957,0.1531,0.181,0.142,0.1747,0.1618,2017
2029,"49","1980",0.1993,0.1535,0.1831,0.1429,0.1764,0.163,2017
2029,"59","1970",0.1397,0.1092,0.1276,0.1007,0.1241,0.1138,2017
2030,"20","2010",0.1825,0.1268,0.1687,0.1175,0.1552,0.1437,2017
2030,"30","2000",0.2045,0.147,0.1863,0.1357,0.1764,0.1615,2017
2030,"40","1990",0.1903,0.15,0.1759,0.1384,0.1705,0.1574,2017
2030,"50","1980",0.1929,0.1486,0.1769,0.1384,0.1707,0.1576,2017
2030,"60","1970",0.134,0.104,0.1224,0.0961,0.1186,0.1089,2017
2031,"21","2010",0.1936,0.1345,0.1793,0.1242,0.1647,0.1524,2017
2031,"31","2000",0.2007,0.1453,0.1832,0.1343,0.1736,0.1593,2017
2031,"41","1990",0.1854,0.1456,0.1709,0.1351,0.1658,0.1533,2017
2031,"51","1980",0.187,0.1441,0.1708,0.1346,0.1655,0.1526,2017
2031,"61","1970",0.1285,0.0995,0.1175,0.0913,0.1136,0.104,2017
2032,"22","2010",0.2009,0.1398,0.1862,0.1303,0.171,0.1589,2017
2032,"32","2000",0.1972,0.1434,0.1794,0.1321,0.1709,0.1562,2017
2032,"42","1990",0.1803,0.1417,0.1661,0.1315,0.1613,0.1491,2017
2032,"52","1980",0.1809,0.1388,0.1653,0.1294,0.1598,0.1473,2017
2032,"62","1970",0.1229,0.0952,0.1124,0.0867,0.1087,0.0992,2017
2033,"23","2010",0.2074,0.1444,0.1919,0.134,0.1766,0.1636,2017
2033,"33","2000",0.1923,0.1407,0.1754,0.1299,0.1671,0.1531,2017
2033,"43","1990",0.1754,0.1379,0.1608,0.1285,0.1569,0.1449,2017
2033,"53","1980",0.1747,0.1341,0.16,0.1247,0.1543,0.1423,2017
2033,"63","1970",0.1173,0.0905,0.1073,0.0822,0.1034,0.0944,2017
2034,"24","2010",0.2108,0.147,0.1939,0.1371,0.1796,0.1661,2017
2034,"34","2000",0.1882,0.138,0.1714,0.1276,0.1636,0.15,2017
2034,"44","1990",0.17,0.1342,0.1561,0.1251,0.1523,0.1408,2017
2034,"54","1980",0.1698,0.1293,0.1545,0.1205,0.1494,0.1374,2017
2034,"64","1970",0.1112,0.0853,0.1022,0.0777,0.0978,0.0896,2017
2035,"25","2010",0.2129,0.1484,0.1952,0.1389,0.1813,0.1677,2017
2035,"35","2000",0.1845,0.1356,0.1669,0.1251,0.1605,0.1465,2017
2035,"45","1990",0.1649,0.1303,0.1516,0.1218,0.1478,0.1369,2017
2035,"55","1980",0.1634,0.1244,0.1487,0.1156,0.1437,0.1321,2017
2035,"65","1970",0.1058,0.0803,0.0973,0.0736,0.0926,0.085,2017
2036,"26","2010",0.2125,0.1491,0.1952,0.139,0.1815,0.1677,2017
2036,"36","2000",0.1797,0.1329,0.1621,0.1231,0.1568,0.143,2017
2036,"46","1990",0.1599,0.1268,0.1473,0.1181,0.1436,0.1329,2017
2036,"56","1980",0.1573,0.1196,0.1435,0.1116,0.1383,0.1274,2017
2036,"66","1970",0.0999,0.0756,0.0923,0.0688,0.0873,0.08,2017
2037,"27","2010",0.2115,0.1491,0.1948,0.139,0.1809,0.1675,2017
2037,"37","2000",0.1754,0.1302,0.1584,0.1209,0.1533,0.14,2017
2037,"47","1990",0.1559,0.1225,0.1423,0.1145,0.1394,0.1286,2017
2037,"57","1980",0.1512,0.1149,0.1381,0.107,0.1329,0.1224,2017
2037,"67","1970",0.0948,0.0708,0.0876,0.0644,0.0823,0.0755,2017
2038,"28","2010",0.21,0.149,0.1932,0.1381,0.1801,0.1662,2017
2038,"38","2000",0.1708,0.1275,0.1545,0.1185,0.1496,0.1369,2017
2038,"48","1990",0.1515,0.119,0.1381,0.1115,0.1354,0.125,2017
2038,"58","1980",0.1456,0.11,0.133,0.1024,0.1276,0.1175,2017
2038,"68","1970",0.0897,0.0662,0.0832,0.0607,0.0774,0.0715,2017
2039,"29","2010",0.2078,0.1477,0.19,0.1369,0.1783,0.164,2017
2039,"39","2000",0.1659,0.1253,0.1501,0.1158,0.146,0.1333,2017
2039,"49","1990",0.1469,0.1156,0.1341,0.1076,0.1314,0.121,2017
2039,"59","1980",0.1399,0.1057,0.1274,0.098,0.1225,0.1125,2017
2039,"69","1970",0.0845,0.0621,0.0784,0.0567,0.0728,0.067,2017
2040,"30","2010",0.2047,0.1463,0.1874,0.1357,0.1761,0.1621,2017
2040,"40","2000",0.1617,0.1226,0.1464,0.1133,0.1426,0.1302,2017
2040,"50","1990",0.1426,0.1121,0.1299,0.1038,0.1275,0.117,2017
2040,"60","1980",0.1348,0.101,0.1224,0.0938,0.1176,0.1079,2017
2040,"70","1970",0.0796,0.057,0.0735,0.0529,0.0658,0.0609,2017
2041,"31","2010",0.2013,0.1441,0.1845,0.134,0.1733,0.1597,2017
2041,"41","2000",0.1576,0.1197,0.1424,0.1111,0.139,0.1271,2017
2041,"51","1990",0.1385,0.1083,0.1256,0.1005,0.1236,0.1131,2017
2041,"61","1980",0.1293,0.0961,0.1171,0.0893,0.1124,0.103,2017
2041,"71","1970",0.0752,0.0528,0.0685,0.0488,0.0613,0.0563,2017
2042,"32","2010",0.1979,0.1423,0.1813,0.1319,0.1707,0.1571,2017
2042,"42","2000",0.1532,0.1169,0.1384,0.1082,0.1354,0.1236,2017
2042,"52","1990",0.1335,0.1048,0.1215,0.0967,0.1193,0.1092,2017
2042,"62","1980",0.1245,0.0917,0.1118,0.0848,0.1078,0.098,2017
2042,"72","1970",0.0704,0.0488,0.0645,0.0452,0.0568,0.0524,2017
2043,"33","2010",0.1931,0.14,0.1774,0.1299,0.1671,0.1541,2017
2043,"43","2000",0.1485,0.1146,0.1341,0.1055,0.1319,0.1201,2017
2043,"53","1990",0.1294,0.1009,0.117,0.0933,0.1153,0.1052,2017
2043,"63","1980",0.1194,0.087,0.1064,0.0798,0.1029,0.0928,2017
2043,"73","1970",0.0657,0.0451,0.0597,0.0419,0.0526,0.0483,2017
2044,"34","2010",0.1891,0.1378,0.1736,0.1275,0.164,0.151,2017
2044,"44","2000",0.1435,0.1117,0.1302,0.1032,0.1279,0.117,2017
2044,"54","1990",0.1247,0.0977,0.1131,0.0904,0.1113,0.1018,2017
2044,"64","1980",0.1142,0.0824,0.1024,0.0758,0.0979,0.0888,2017
2044,"74","1970",0.0618,0.0414,0.0553,0.0388,0.0486,0.0446,2017
2045,"35","2010",0.1843,0.1356,0.1692,0.1253,0.1604,0.1477,2017
2045,"45","2000",0.1393,0.1086,0.1264,0.1004,0.1242,0.1136,2017
2045,"55","1990",0.1204,0.0942,0.1093,0.0873,0.1074,0.0983,2017
2045,"65","1980",0.1091,0.0774,0.0977,0.0713,0.0928,0.0842,2017
2045,"75","1970",0.0577,0.0382,0.0512,0.0352,0.0449,0.0407,2017
2046,"36","2010",0.1795,0.1331,0.1651,0.1234,0.1568,0.1447,2017
2046,"46","2000",0.135,0.1053,0.123,0.0975,0.1204,0.1105,2017
2046,"56","1990",0.1165,0.0908,0.1058,0.0838,0.1037,0.0949,2017
2046,"66","1980",0.1036,0.0728,0.0933,0.0673,0.0877,0.0799,2017
2046,"76","1970",0.0539,0.0348,0.0467,0.0321,0.0411,0.037,2017
2047,"37","2010",0.1746,0.1309,0.1609,0.1206,0.1532,0.1412,2017
2047,"47","2000",0.1304,0.1025,0.1196,0.0945,0.1167,0.1072,2017
2047,"57","1990",0.1121,0.0875,0.1016,0.081,0.0998,0.0913,2017
2047,"67","1980",0.0979,0.0682,0.0888,0.0639,0.0826,0.076,2017
2047,"77","1970",0.0494,0.0319,0.043,0.029,0.0375,0.0335,2017
2048,"38","2010",0.1696,0.1281,0.1568,0.1181,0.1493,0.1378,2017
2048,"48","2000",0.1266,0.0998,0.1164,0.0917,0.1134,0.1042,2017
2048,"58","1990",0.1083,0.084,0.0979,0.0774,0.0962,0.0876,2017
2048,"68","1980",0.0926,0.0634,0.0847,0.0593,0.0775,0.0716,2017
2048,"78","1970",0.0451,0.0286,0.0396,0.0263,0.0337,0.0305,2017
2049,"39","2010",0.1647,0.1253,0.1517,0.1155,0.1454,0.134,2017
2049,"49","2000",0.1225,0.097,0.1125,0.0891,0.11,0.101,2017
2049,"59","1990",0.1043,0.0802,0.0948,0.0742,0.0923,0.0845,2017
2049,"69","1980",0.0873,0.0594,0.0801,0.0556,0.0728,0.0674,2017
2049,"79","1970",0.0408,0.0259,0.036,0.024,0.0303,0.0276,2017
2050,"40","2010",0.1607,0.1226,0.1472,0.1127,0.142,0.1303,2017
2050,"50","2000",0.119,0.0938,0.1089,0.0863,0.1066,0.0978,2017
2050,"60","1990",0.1007,0.0766,0.0911,0.0709,0.0886,0.081,2017
2050,"70","1980",0.0818,0.0549,0.0759,0.0517,0.0655,0.0612,2017
2050,"80","1970",0.0378,0.0233,0.0332,0.0216,0.0299,0.0269,2017
2051,"41","2010",0.1568,0.1199,0.1436,0.1103,0.1387,0.1272,2017
2051,"51","2000",0.1151,0.091,0.1054,0.0833,0.1032,0.0945,2017
2051,"61","1990",0.0965,0.0736,0.0877,0.0675,0.085,0.0775,2017
2051,"71","1980",0.0772,0.0512,0.0709,0.048,0.0613,0.0569,2017
2051,"81","1970",0.0337,0.0207,0.0302,0.0196,0.0266,0.0244,2017
2052,"42","2010",0.1528,0.1167,0.1393,0.1077,0.1351,0.1238,2017
2052,"52","2000",0.1117,0.0881,0.1015,0.0808,0.1,0.0913,2017
2052,"62","1990",0.0928,0.0697,0.0845,0.0639,0.0812,0.0742,2017
2052,"72","1980",0.0721,0.0474,0.0663,0.044,0.0568,0.0525,2017
2052,"82","1970",0.0298,0.0186,0.0273,0.0168,0.0236,0.0215,2017
2053,"43","2010",0.1482,0.1145,0.1359,0.1047,0.1316,0.1206,2017
2053,"53","2000",0.108,0.0853,0.0984,0.0782,0.0968,0.0884,2017
2053,"63","1990",0.0889,0.0662,0.0807,0.0605,0.0775,0.0705,2017
2053,"73","1980",0.0679,0.0438,0.0624,0.0405,0.0527,0.0487,2017
2053,"83","1970",0.0262,0.0161,0.0244,0.015,0.0206,0.0192,2017
2054,"44","2010",0.1439,0.1116,0.1315,0.102,0.128,0.117,2017
2054,"54","2000",0.1048,0.0819,0.0944,0.0752,0.0935,0.0849,2017
2054,"64","1990",0.0849,0.0625,0.0771,0.0575,0.0736,0.0672,2017
2054,"74","1980",0.0635,0.0401,0.0581,0.0378,0.0485,0.0451,2017
2054,"84","1970",0.0225,0.0142,0.0212,0.0129,0.0178,0.0165,2017
2055,"45","2010",0.1393,0.1093,0.1279,0.0992,0.1246,0.1138,2017
2055,"55","2000",0.101,0.0789,0.0915,0.0728,0.0901,0.0823,2017
2055,"65","1990",0.0811,0.0591,0.0736,0.0546,0.07,0.064,2017
2055,"75","1980",0.0592,0.0371,0.054,0.0348,0.0449,0.0416,2017
2055,"85","1970",0.0197,0.0119,0.0176,0.0111,0.0153,0.014,2017
2056,"46","2010",0.1351,0.1059,0.1244,0.0962,0.1207,0.1105,2017
2056,"56","2000",0.0978,0.0757,0.0886,0.0703,0.0869,0.0795,2017
2056,"66","1990",0.0775,0.0557,0.0701,0.0509,0.0665,0.0603,2017
2056,"76","1980",0.0545,0.0338,0.0498,0.0316,0.0409,0.0378,2017
2056,"86","1970",0.0171,0.0105,0.0154,0.0098,0.0133,0.0122,2017
2057,"47","2010",0.131,0.1027,0.1205,0.0932,0.1171,0.107,2017
2057,"57","2000",0.0945,0.0725,0.0856,0.0674,0.0836,0.0766,2017
2057,"67","1990",0.0735,0.0521,0.0665,0.048,0.0626,0.0572,2017
2057,"77","1980",0.0505,0.0308,0.0465,0.029,0.0373,0.0348,2017
2057,"87","1970",0.0146,0.009,0.0133,0.008,0.0114,0.0102,2017
2058,"48","2010",0.1267,0.0998,0.1165,0.0907,0.1135,0.1039,2017
2058,"58","2000",0.0911,0.0692,0.0822,0.065,0.0803,0.0737,2017
2058,"68","1990",0.0699,0.0491,0.0628,0.0454,0.0594,0.0539,2017
2058,"78","1980",0.0459,0.0286,0.0433,0.0262,0.0342,0.0316,2017
2058,"88","1970",0.0128,0.0076,0.0114,0.0067,0.0098,0.0086,2017
2059,"49","2010",0.1222,0.0966,0.1134,0.088,0.1096,0.1009,2017
2059,"59","2000",0.0875,0.0658,0.0789,0.062,0.0767,0.0705,2017
2059,"69","1990",0.0662,0.0461,0.0593,0.0425,0.056,0.0508,2017
2059,"79","1980",0.0414,0.0256,0.039,0.0237,0.0305,0.0284,2017
2059,"89","1970",0.0111,0.0066,0.0101,0.0056,0.0084,0.0075,2017
2060,"50","2010",0.1187,0.0934,0.1096,0.0851,0.1063,0.0975,2017
2060,"60","2000",0.0846,0.0628,0.0761,0.0591,0.0737,0.0676,2017
2060,"70","1990",0.0628,0.0432,0.0563,0.0394,0.0512,0.0463,2017
2060,"80","1980",0.0379,0.0233,0.035,0.0211,0.03,0.0275,2017
2060,"90","1970",0.0095,0.0056,0.0087,0.0046,0.0072,0.0063,2017
2010,"12-17","ALL",0.0664,0.048,0.066,0.0477,0.0574,0.0571,2017
2011,"12-17","ALL",0.0647,0.0446,0.0639,0.0443,0.0549,0.0543,2017
2012,"12-17","ALL",0.063,0.0413,0.0627,0.0412,0.0524,0.0522,2017
2013,"12-17","ALL",0.0617,0.0392,0.0615,0.039,0.0507,0.0505,2017
2014,"12-17","ALL",0.0616,0.0382,0.0614,0.0384,0.0502,0.0501,2017
2015,"12-17","ALL",0.0617,0.0379,0.0613,0.0381,0.0501,0.05,2017
2016,"12-17","ALL",0.0615,0.0378,0.0613,0.0381,0.0499,0.05,2017
2017,"12-17","ALL",0.0614,0.0378,0.0591,0.0363,0.0499,0.048,2017
2018,"12-17","ALL",0.061,0.0375,0.0576,0.035,0.0495,0.0465,2017
2019,"12-17","ALL",0.0607,0.0372,0.0564,0.0344,0.0492,0.0456,2017
2020,"12-17","ALL",0.0607,0.0373,0.0562,0.034,0.0493,0.0453,2017
2021,"12-17","ALL",0.0611,0.0374,0.0561,0.0341,0.0495,0.0453,2017
2022,"12-17","ALL",0.0613,0.0376,0.0562,0.0343,0.0497,0.0455,2017
2023,"12-17","ALL",0.0614,0.0377,0.0562,0.0346,0.0498,0.0456,2017
2024,"12-17","ALL",0.0615,0.0378,0.0561,0.0346,0.0499,0.0456,2017
2025,"12-17","ALL",0.0613,0.0377,0.056,0.0345,0.0497,0.0455,2017
2026,"12-17","ALL",0.0609,0.0374,0.0557,0.0343,0.0494,0.0452,2017
2027,"12-17","ALL",0.0608,0.0374,0.0557,0.0343,0.0494,0.0452,2017
2028,"12-17","ALL",0.0608,0.0373,0.0558,0.0342,0.0493,0.0452,2017
2029,"12-17","ALL",0.0607,0.0373,0.0556,0.034,0.0492,0.045,2017
2030,"12-17","ALL",0.0606,0.0372,0.0555,0.034,0.0492,0.045,2017
2031,"12-17","ALL",0.0607,0.0373,0.0555,0.034,0.0492,0.045,2017
2032,"12-17","ALL",0.0608,0.0373,0.0555,0.034,0.0493,0.045,2017
2033,"12-17","ALL",0.0607,0.0373,0.0556,0.034,0.0493,0.045,2017
2034,"12-17","ALL",0.0608,0.0373,0.0557,0.0341,0.0493,0.0451,2017
2035,"12-17","ALL",0.0609,0.0373,0.0558,0.0341,0.0494,0.0452,2017
2036,"12-17","ALL",0.0609,0.0373,0.0557,0.0341,0.0494,0.0452,2017
2037,"12-17","ALL",0.0609,0.0374,0.0558,0.0341,0.0494,0.0452,2017
2038,"12-17","ALL",0.0609,0.0374,0.0558,0.0341,0.0494,0.0452,2017
2039,"12-17","ALL",0.061,0.0374,0.0558,0.0342,0.0495,0.0452,2017
2040,"12-17","ALL",0.0611,0.0374,0.0559,0.0342,0.0495,0.0453,2017
2041,"12-17","ALL",0.0611,0.0375,0.056,0.0342,0.0495,0.0453,2017
2042,"12-17","ALL",0.0611,0.0375,0.0559,0.0342,0.0495,0.0453,2017
2043,"12-17","ALL",0.0611,0.0375,0.0559,0.0342,0.0496,0.0453,2017
2044,"12-17","ALL",0.0611,0.0375,0.0559,0.0342,0.0496,0.0453,2017
2045,"12-17","ALL",0.0611,0.0375,0.0559,0.0343,0.0496,0.0453,2017
2046,"12-17","ALL",0.0611,0.0375,0.0559,0.0343,0.0496,0.0453,2017
2047,"12-17","ALL",0.0611,0.0375,0.0559,0.0342,0.0495,0.0453,2017
2048,"12-17","ALL",0.061,0.0374,0.0559,0.0342,0.0495,0.0453,2017
2049,"12-17","ALL",0.061,0.0374,0.0559,0.0342,0.0495,0.0453,2017
2050,"12-17","ALL",0.061,0.0375,0.0559,0.0342,0.0495,0.0453,2017
2051,"12-17","ALL",0.061,0.0374,0.0559,0.0342,0.0495,0.0453,2017
2052,"12-17","ALL",0.061,0.0374,0.0559,0.0341,0.0495,0.0453,2017
2053,"12-17","ALL",0.061,0.0374,0.0559,0.0342,0.0495,0.0453,2017
2054,"12-17","ALL",0.061,0.0374,0.0559,0.0342,0.0494,0.0453,2017
2055,"12-17","ALL",0.061,0.0374,0.0559,0.0342,0.0494,0.0453,2017
2056,"12-17","ALL",0.061,0.0374,0.0558,0.0342,0.0494,0.0452,2017
2057,"12-17","ALL",0.0609,0.0374,0.0558,0.0341,0.0494,0.0452,2017
2058,"12-17","ALL",0.0609,0.0374,0.0558,0.0342,0.0494,0.0452,2017
2059,"12-17","ALL",0.0609,0.0374,0.0558,0.0342,0.0494,0.0452,2017
2060,"12-17","ALL",0.0609,0.0374,0.0558,0.0341,0.0494,0.0452,2017
2010,"18-24","ALL",0.2441,0.1887,0.2436,0.1886,0.217,0.2167,2017
2011,"18-24","ALL",0.2332,0.179,0.233,0.1789,0.2066,0.2065,2017
2012,"18-24","ALL",0.2232,0.1694,0.2229,0.169,0.1969,0.1965,2017
2013,"18-24","ALL",0.214,0.1611,0.2139,0.1604,0.1881,0.1877,2017
2014,"18-24","ALL",0.2067,0.1542,0.2065,0.1536,0.1811,0.1807,2017
2015,"18-24","ALL",0.2003,0.1477,0.1999,0.1474,0.1747,0.1743,2017
2016,"18-24","ALL",0.1956,0.1426,0.195,0.1425,0.1698,0.1694,2017
2017,"18-24","ALL",0.192,0.1385,0.1882,0.1364,0.166,0.163,2017
2018,"18-24","ALL",0.1901,0.1354,0.1831,0.1313,0.1635,0.1578,2017
2019,"18-24","ALL",0.1893,0.1332,0.1801,0.1275,0.1619,0.1545,2017
2020,"18-24","ALL",0.189,0.1319,0.1779,0.1249,0.1611,0.152,2017
2021,"18-24","ALL",0.1888,0.1312,0.1761,0.1229,0.1607,0.1501,2017
2022,"18-24","ALL",0.1885,0.131,0.1749,0.1215,0.1604,0.1488,2017
2023,"18-24","ALL",0.1882,0.1307,0.1739,0.1208,0.1601,0.1479,2017
2024,"18-24","ALL",0.188,0.1307,0.1734,0.1204,0.16,0.1475,2017
2025,"18-24","ALL",0.1878,0.1305,0.1726,0.12,0.1598,0.1469,2017
2026,"18-24","ALL",0.1877,0.1304,0.1724,0.12,0.1597,0.1468,2017
2027,"18-24","ALL",0.1879,0.1305,0.1729,0.1202,0.1598,0.1471,2017
2028,"18-24","ALL",0.188,0.1305,0.1732,0.1203,0.1599,0.1473,2017
2029,"18-24","ALL",0.188,0.1305,0.1735,0.1204,0.1599,0.1475,2017
2030,"18-24","ALL",0.188,0.1306,0.1737,0.1205,0.1599,0.1477,2017
2031,"18-24","ALL",0.188,0.1306,0.1738,0.1206,0.1599,0.1478,2017
2032,"18-24","ALL",0.1878,0.1304,0.1737,0.1206,0.1598,0.1477,2017
2033,"18-24","ALL",0.1878,0.1303,0.1735,0.1205,0.1597,0.1476,2017
2034,"18-24","ALL",0.1877,0.1304,0.1735,0.1206,0.1597,0.1476,2017
2035,"18-24","ALL",0.1876,0.1303,0.1736,0.1204,0.1596,0.1477,2017
2036,"18-24","ALL",0.1876,0.1303,0.1737,0.1204,0.1596,0.1476,2017
2037,"18-24","ALL",0.1875,0.1303,0.1737,0.1205,0.1596,0.1477,2017
2038,"18-24","ALL",0.1876,0.1304,0.1738,0.1204,0.1597,0.1477,2017
2039,"18-24","ALL",0.1877,0.1304,0.1739,0.1204,0.1597,0.1478,2017
2040,"18-24","ALL",0.1877,0.1304,0.1743,0.1204,0.1597,0.148,2017
2041,"18-24","ALL",0.1877,0.1304,0.1744,0.1204,0.1597,0.148,2017
2042,"18-24","ALL",0.1878,0.1303,0.1744,0.1205,0.1598,0.1481,2017
2043,"18-24","ALL",0.1878,0.1304,0.1745,0.1205,0.1598,0.1481,2017
2044,"18-24","ALL",0.1878,0.1304,0.1745,0.1205,0.1598,0.1482,2017
2045,"18-24","ALL",0.1879,0.1304,0.1745,0.1205,0.1598,0.1482,2017
2046,"18-24","ALL",0.1879,0.1305,0.1745,0.1206,0.1599,0.1482,2017
2047,"18-24","ALL",0.188,0.1305,0.1746,0.1206,0.1599,0.1482,2017
2048,"18-24","ALL",0.188,0.1305,0.1746,0.1206,0.1599,0.1482,2017
2049,"18-24","ALL",0.188,0.1305,0.1746,0.1206,0.1599,0.1482,2017
2050,"18-24","ALL",0.188,0.1305,0.1746,0.1206,0.1599,0.1482,2017
2051,"18-24","ALL",0.1879,0.1305,0.1746,0.1206,0.1599,0.1482,2017
2052,"18-24","ALL",0.1879,0.1305,0.1746,0.1206,0.1599,0.1482,2017
2053,"18-24","ALL",0.1879,0.1305,0.1747,0.1206,0.1599,0.1483,2017
2054,"18-24","ALL",0.1879,0.1305,0.1747,0.1206,0.1599,0.1483,2017
2055,"18-24","ALL",0.1879,0.1305,0.1746,0.1206,0.1599,0.1482,2017
2056,"18-24","ALL",0.1879,0.1305,0.1746,0.1205,0.1598,0.1482,2017
2057,"18-24","ALL",0.1878,0.1305,0.1746,0.1205,0.1598,0.1482,2017
2058,"18-24","ALL",0.1878,0.1305,0.1746,0.1206,0.1599,0.1482,2017
2059,"18-24","ALL",0.1878,0.1305,0.1746,0.1206,0.1599,0.1483,2017
2060,"18-24","ALL",0.1878,0.1305,0.1747,0.1206,0.1598,0.1483,2017
2010,"25-44","ALL",0.2966,0.2299,0.2964,0.2294,0.2635,0.2632,2017
2011,"25-44","ALL",0.2937,0.2264,0.2935,0.226,0.2603,0.26,2017
2012,"25-44","ALL",0.2904,0.2229,0.2901,0.2225,0.2569,0.2566,2017
2013,"25-44","ALL",0.2867,0.219,0.2863,0.219,0.2532,0.2529,2017
2014,"25-44","ALL",0.2824,0.2151,0.2821,0.2149,0.2489,0.2486,2017
2015,"25-44","ALL",0.2778,0.2109,0.2774,0.2109,0.2445,0.2443,2017
2016,"25-44","ALL",0.2725,0.2065,0.2723,0.2065,0.2397,0.2397,2017
2017,"25-44","ALL",0.267,0.2021,0.262,0.1994,0.2348,0.2309,2017
2018,"25-44","ALL",0.2609,0.1977,0.2528,0.1929,0.2296,0.2231,2017
2019,"25-44","ALL",0.2545,0.1933,0.2441,0.1868,0.2243,0.2158,2017
2020,"25-44","ALL",0.2485,0.1887,0.236,0.1812,0.2189,0.2089,2017
2021,"25-44","ALL",0.2423,0.1841,0.2286,0.1757,0.2136,0.2025,2017
2022,"25-44","ALL",0.2365,0.1797,0.2218,0.1705,0.2085,0.1965,2017
2023,"25-44","ALL",0.2307,0.1753,0.2154,0.1657,0.2034,0.1909,2017
2024,"25-44","ALL",0.2252,0.1709,0.2093,0.1609,0.1985,0.1855,2017
2025,"25-44","ALL",0.2196,0.1666,0.2035,0.1562,0.1936,0.1802,2017
2026,"25-44","ALL",0.2143,0.1625,0.1979,0.1519,0.1888,0.1753,2017
2027,"25-44","ALL",0.2091,0.1581,0.1926,0.1475,0.1841,0.1705,2017
2028,"25-44","ALL",0.2047,0.1544,0.1883,0.1437,0.18,0.1664,2017
2029,"25-44","ALL",0.2006,0.1509,0.1843,0.1402,0.1762,0.1627,2017
2030,"25-44","ALL",0.1971,0.1479,0.1808,0.1371,0.173,0.1594,2017
2031,"25-44","ALL",0.1939,0.1452,0.178,0.1345,0.17,0.1567,2017
2032,"25-44","ALL",0.1913,0.1429,0.1755,0.1322,0.1676,0.1543,2017
2033,"25-44","ALL",0.189,0.1409,0.1733,0.1303,0.1654,0.1523,2017
2034,"25-44","ALL",0.1873,0.1391,0.1716,0.1287,0.1637,0.1506,2017
2035,"25-44","ALL",0.1859,0.1378,0.1702,0.1274,0.1623,0.1492,2017
2036,"25-44","ALL",0.1848,0.1367,0.1693,0.1264,0.1612,0.1483,2017
2037,"25-44","ALL",0.1842,0.1359,0.1687,0.1256,0.1606,0.1476,2017
2038,"25-44","ALL",0.1838,0.1353,0.1683,0.125,0.1601,0.1471,2017
2039,"25-44","ALL",0.1837,0.1349,0.1682,0.1246,0.1598,0.1468,2017
2040,"25-44","ALL",0.1837,0.1347,0.1682,0.1242,0.1597,0.1466,2017
2041,"25-44","ALL",0.1836,0.1346,0.1682,0.124,0.1596,0.1466,2017
2042,"25-44","ALL",0.1836,0.1345,0.1684,0.124,0.1595,0.1466,2017
2043,"25-44","ALL",0.1836,0.1345,0.1685,0.1239,0.1596,0.1467,2017
2044,"25-44","ALL",0.1836,0.1345,0.1687,0.1239,0.1595,0.1468,2017
2045,"25-44","ALL",0.1836,0.1345,0.1689,0.124,0.1596,0.1469,2017
2046,"25-44","ALL",0.1837,0.1345,0.1691,0.1241,0.1596,0.1471,2017
2047,"25-44","ALL",0.1837,0.1345,0.1693,0.1241,0.1596,0.1472,2017
2048,"25-44","ALL",0.1837,0.1345,0.1695,0.1243,0.1596,0.1473,2017
2049,"25-44","ALL",0.1837,0.1346,0.1696,0.1244,0.1597,0.1475,2017
2050,"25-44","ALL",0.1837,0.1346,0.1697,0.1244,0.1597,0.1476,2017
2051,"25-44","ALL",0.1837,0.1346,0.1699,0.1245,0.1597,0.1477,2017
2052,"25-44","ALL",0.1838,0.1346,0.17,0.1247,0.1598,0.1478,2017
2053,"25-44","ALL",0.1839,0.1347,0.1701,0.1247,0.1598,0.1479,2017
2054,"25-44","ALL",0.1839,0.1347,0.1702,0.1248,0.1598,0.148,2017
2055,"25-44","ALL",0.1838,0.1347,0.1703,0.1249,0.1598,0.1481,2017
2056,"25-44","ALL",0.1838,0.1346,0.1703,0.1249,0.1598,0.1481,2017
2057,"25-44","ALL",0.1838,0.1346,0.1702,0.1249,0.1597,0.148,2017
2058,"25-44","ALL",0.1837,0.1346,0.1701,0.1248,0.1597,0.148,2017
2059,"25-44","ALL",0.1837,0.1346,0.17,0.1248,0.1597,0.1479,2017
2060,"25-44","ALL",0.1837,0.1346,0.17,0.1248,0.1597,0.1479,2017
2010,"45-64","ALL",0.2336,0.1996,0.2333,0.1994,0.2162,0.2159,2017
2011,"45-64","ALL",0.2267,0.1937,0.2264,0.1932,0.2098,0.2094,2017
2012,"45-64","ALL",0.2203,0.188,0.2199,0.1874,0.2037,0.2033,2017
2013,"45-64","ALL",0.2143,0.1826,0.2139,0.1821,0.198,0.1976,2017
2014,"45-64","ALL",0.2084,0.1775,0.2082,0.177,0.1926,0.1922,2017
2015,"45-64","ALL",0.203,0.1728,0.2031,0.1722,0.1875,0.1873,2017
2016,"45-64","ALL",0.198,0.1682,0.1981,0.1678,0.1828,0.1826,2017
2017,"45-64","ALL",0.1935,0.1639,0.1899,0.1608,0.1784,0.175,2017
2018,"45-64","ALL",0.1889,0.1597,0.1829,0.1544,0.1739,0.1683,2017
2019,"45-64","ALL",0.1849,0.1556,0.177,0.1488,0.1699,0.1626,2017
2020,"45-64","ALL",0.1815,0.1517,0.1722,0.1437,0.1662,0.1576,2017
2021,"45-64","ALL",0.1782,0.148,0.1677,0.1393,0.1628,0.1532,2017
2022,"45-64","ALL",0.1753,0.1444,0.1642,0.1356,0.1595,0.1496,2017
