birthyear,age,p_berkeley,q_nlung,final
1864,0,0.11969,0.11969,0.11969
1864,1,0.03061,0.03061,0.03061
1864,2,0.01488,0.01488,0.01488
1864,3,0.01011,0.01011,0.01011
1864,4,0.00822,0.00822,0.00822
1864,5,0.00585,0.00585,0.00585
1864,6,0.00428,0.00428,0.00428
1864,7,0.00306,0.00306,0.00306
1864,8,0.00232,0.0023198003,0.00232
1864,9,0.00186,0.0018596005,0.00186
1864,10,0.00203,0.0020294007,0.00203
1864,11,0.00198,0.0019792009,0.00198
1864,12,0.00195,0.0019490012,0.00195
1864,13,0.00227,0.0022690014,0.00227
1864,14,0.00233,0.0023290014,0.00233
1864,15,0.00256,0.0025590016,0.00256
1864,16,0.00304,0.0030390019,0.00304
1864,17,0.00364,0.0036390022,0.00364
1864,18,0.00785,0.0078490043,0.00785
1864,19,0.00517,0.005169003,0.00517
1864,20,0.00535,0.0053490031,0.00535
1864,21,0.00458,0.0045790028,0.00458
1864,22,0.00467,0.0046690028,0.00467
1864,23,0.00479,0.0047886041,0.00479
1864,24,0.00471,0.0047082052,0.00471
1864,25,0.00476,0.0047578065,0.00476
1864,26,0.00487,0.0048674078,0.00487
1864,27,0.00458,0.0045770087,0.00458
1864,28,0.00472,0.0047162114,0.00472
1864,29,0.00476,0.004755414,0.00476
1864,30,0.00444,0.0044346157,0.00444
1864,31,0.00447,0.0044638185,0.00447
1864,32,0.00432,0.0043130208,0.00432
1864,33,0.004205,0.0041970236,0.004205
1864,34,0.004437,0.0044280281,0.004437
1864,35,0.004701,0.0046910333,0.004701
1864,36,0.004932,0.0049210387,0.004932
1864,37,0.005107,0.0050950442,0.005107
1864,38,0.005246,0.0052310577,0.005246
1864,39,0.005367,0.0053490725,0.005367
1864,40,0.005495,0.0054740888,0.0060043704
1864,41,0.005699,0.0056751067,0.0062511845
1864,42,0.006007,0.0059801276,0.0066134804
1864,43,0.006397,0.0063665547,0.0070646572
1864,44,0.006843,0.0068089853,0.0075804996
1864,45,0.00734,0.0073024191,0.00815603
1864,46,0.007871,0.0078298591,0.0087727497
1864,47,0.008423,0.0083783026,0.0094163073
1864,48,0.009024,0.0089737661,0.0100509234
1864,49,0.009704,0.0096482443,0.0107694893
1864,50,0.010451,0.0103897257,0.011557524
1864,51,0.011185,0.0111182146,0.0123257531
1864,52,0.011879,0.0118067136,0.0130447513
1864,53,0.012529,0.0124496377,0.0136506165
1864,54,0.013129,0.0130425652,0.0141932241
1864,55,0.013732,0.0136385007,0.0147310547
1864,56,0.014537,0.0144364637,0.0154764151
1864,57,0.015627,0.0155194563,0.016514245
1864,58,0.017022,0.016902548,0.0179097273
1864,59,0.018747,0.0186157043,0.0196555765
1864,60,0.020764,0.0206209557,0.0217209191
1864,61,0.022788,0.0226332346,0.0238214036
1864,62,0.024724,0.024557542,0.0258694392
1864,63,0.0266,0.0264277716,0.0278131211
1864,64,0.02842,0.0282420328,0.0296940579
1864,65,0.030278,0.0300943056,0.0316030962
1864,66,0.032561,0.0323716325,0.0339195323
1864,67,0.03546,0.0352650665,0.0368211704
1864,68,0.039036,0.0388275773,0.0402197953
1864,69,0.043392,0.0431702855,0.044380885
1864,70,0.047557,0.0473221623,0.0483561801
1864,71,0.05213,0.0518822726,0.0528282127
1864,72,0.056226,0.0559655811,0.0569687808
1864,73,0.059467,0.0591983207,0.0603774833
1864,74,0.065281,0.0650046421,0.0664724927
1864,75,0.072618,0.0723342495,0.074110568
1864,76,0.075904,0.0756125479,0.0775247342
1864,77,0.079396,0.0790970642,0.0808909931
1864,78,0.089583,0.0892832502,0.0907222479
1864,79,0.099835,0.0995346921,0.1002751091
1864,80,0.099882,0.0995786254,0.099882
1864,81,0.10456,0.1042556106,0.10456
1864,82,0.113899,0.1135947213,0.113899
1864,83,0.126115,0.1258145356,0.126115
1864,84,0.136874,0.1365772538,0.136874
1864,85,0.148108,0.1478155566,0.148108
1864,86,0.158382,0.1580934044,0.158382
1864,87,0.168763,0.1684670185,0.1697603385
1864,88,0.175724,0.1754395181,0.177741267
1864,89,0.185962,0.1856923758,0.1891467446
1864,90,0.212892,0.212598535,0.2177540239
1864,91,0.215849,0.2155723595,0.2220237664
1864,92,0.242278,0.2419965572,0.2506180145
1864,93,0.268192,0.26792415,0.2789943569
1864,94,0.295374,0.295103461,0.309009529
1864,95,0.30356,0.3032881955,0.3193664905
1864,96,0.32664,0.326375288,0.3455820523
1864,97,0.347927,0.3476727508,0.3701651723
1864,98,0.370514,0.3702724158,0.402124997
1864,99,0.35109,0.3508303052,0.3886231632
